name
Parking Lot 101 Santa Cruz
Parking Lot 102 Santa Cruz
Parking Lot 103 Santa Cruz
Parking Lot 104 Santa Cruz
Parking Lot 106 Santa Cruz
Parking Lot 107 Santa Cruz
Parking Lot 108 Santa Cruz
Parking Lot 109 Santa Cruz
Parking Lot 110 Santa Cruz
Parking Lot 111 Santa Cruz
Parking Lot 112 Santa Cruz
Parking Lot 113 Santa Cruz
Parking Lot 114 Santa Cruz
Parking Lot 115 Santa Cruz
Parking Lot 116 Santa Cruz
Parking Lot 119 Santa Cruz
Parking Lot 120 Santa Cruz
Parking Lot 121 Santa Cruz
Parking Lot 124 Santa Cruz
Parking Lot 125 Santa Cruz
Parking Lot 126 Santa Cruz
Parking Lot 127 Santa Cruz
Parking Lot 128 Santa Cruz
Parking Lot 130 Santa Cruz
Parking Lot 131 Santa Cruz
Parking Lot 133 Santa Cruz
Parking Lot 134 Santa Cruz
Parking Lot 135 Santa Cruz
Parking Lot 136 Santa Cruz
Parking Lot 138 Santa Cruz
Parking Lot 139 Santa Cruz
Parking Lot 140 Santa Cruz
Parking Lot 141 Santa Cruz
Parking Lot 143 Santa Cruz
Parking Lot 144 Santa Cruz
Parking Lot 145 Santa Cruz
Parking Lot 146 Santa Cruz
Parking Lot 147 Santa Cruz
Parking Lot 149 Santa Cruz
Parking Lot 150 Santa Cruz
Parking Lot 152 Santa Cruz
Parking Lot 153 Santa Cruz
Parking Lot 154 Santa Cruz
Parking Lot 155 Santa Cruz
Parking Lot 156 Santa Cruz
Parking Lot 157 Santa Cruz
Parking Lot 158 Santa Cruz
Parking Lot 159 Santa Cruz
Parking Lot 160 Santa Cruz
Parking Lot 161 Santa Cruz
Parking Lot 162 Santa Cruz
Parking Lot 163 Santa Cruz
Parking Lot 164 Santa Cruz
Parking Lot 165 Santa Cruz
Parking Lot 166 Santa Cruz
Parking Lot 167 Santa Cruz
Parking Lot 168 Santa Cruz
Parking Lot 169 Santa Cruz
Parking Lot 170 Santa Cruz
Parking Lot 201 Santa Cruz
Parking Lot 202 Santa Cruz
Parking Lot 203 Santa Cruz
Parking Lot 205 Santa Cruz
Parking Lot 206 Santa Cruz
Parking Lot 301 Santa Cruz
Parking Lot 15169 Santa Cruz
ACADEMIC RESOURCE CENTER
BASKIN VISUAL ARTS
COLLEGE NINE
COOLIDGE DRIVE
COWELL COLLEGE
COWELL COLLEGE INFILL APTS
CROWN APARTMENTS
CROWN COLLEGE
CROWN SERVICE ROAD
EARTH AND MARINE SCIENCES BUILDING
ENGINEERING LIBRARY
FAMILY STUDENT HOUSING
FARM CASFS
FARM ROAD
HAGAR DRIVE
KRESGE COLLEGE
LEONARDO LANE
LOOKOUT
MERRILL COLLEGE
MERRILL COLLEGE APTS
OAKES COLLEGE
OAKES FIELD SERVICE ROAD
PORTER COLLEGE
PORTER-KRESGE ROAD
RACHEL CARSON COLLEGE
RACHEL CARSON SERVICE ROAD
RED HILL ROAD
STEINHART WAY
STEVENSON SERVICE ROAD
THEATER ARTS CENTER
THIMANN LABS
VILLAGE
VILLAGE ROAD
WEST FIELD HOUSE - RACHEL CARSON COL
WEST SIDE RESEARCH PARK
